name
Сфинкс.
Персидская кошка.
Скоттиш-фолд.
Бурма.
Бирманская кошка.
Британская короткошёрстная кошка.
Русская голубая кошка.
Селкирк-рекс.
Сибирская кошка.
Абиссинская кошка.
